# Yale Bright Star Catalogue (BSC5, 5th Revised Ed.), Hoffleit & Warren 1991.
# http://tdc-www.harvard.edu/catalogs/bsc5.html — public domain.
# Every star north of Dec +25 down to V 6.0: the naked-eye circumpolar sky.
# Positions are J2000. Nothing here is drawn by hand.
# ra_deg	dec_deg	vmag	bayer
279.2346	38.7836	0.03	Alp Lyr
79.1725	45.9981	0.08	Alp Aur
116.3287	28.0261	1.14	Bet Gem
310.3579	45.2803	1.25	Alp Cyg
81.5729	28.6075	1.65	Bet Tau
193.5071	55.9597	1.77	Eps UMa
51.0808	49.8611	1.79	Alp Per
165.9321	61.7508	1.79	Alp UMa
206.8850	49.3133	1.86	Eta UMa
89.8821	44.9475	1.90	Bet Aur
113.6500	31.8883	1.98	Alp Gem
239.8758	25.9203	2.00	
37.9529	89.2642	2.02	Alp UMi
2.0971	29.0906	2.06	Alp And
17.4329	35.6206	2.06	Bet And
222.6763	74.1556	2.08	Bet UMi
47.0421	40.9556	2.12	Bet Per
305.5571	40.2567	2.20	Gam Cyg
10.1271	56.5372	2.23	Alp Cas
233.6721	26.7147	2.23	Alp CrB
269.1517	51.4889	2.23	Gam Dra
30.9750	42.3297	2.26	Gam1 And
2.2946	59.1497	2.27	Bet Cas
200.9812	54.9253	2.27	Zet UMa
165.4604	56.3825	2.37	Bet UMa
345.9438	28.0828	2.42	Bet Peg
178.4575	53.6947	2.44	Gam UMa
319.6450	62.5856	2.44	Alp Cep
311.5529	33.9703	2.46	Eps Cyg
14.1771	60.7167	2.47	Gam Cas
89.9304	37.2125	2.62	The Aur
21.4542	60.2353	2.68	Del Cas
74.2483	33.1661	2.69	Iot Aur
221.2467	27.0742	2.70	Eps Boo
245.9979	61.5142	2.74	Eta Dra
262.6083	52.3014	2.79	Bet Dra
250.3217	31.6031	2.81	Zet Her
58.5329	31.8836	2.85	Zet Per
296.2437	45.1308	2.87	Del Cyg
113.6500	31.8886	2.88	Alp Gem
59.4633	40.0103	2.89	Eps Per
194.0071	38.3183	2.90	Alp2 CVn
46.1992	53.5064	2.93	Gam Per
340.7504	30.2214	2.94	Eta Peg
100.9829	25.1311	2.98	Eps Gem
75.4921	43.8233	2.99	Eps Aur
32.3858	34.9872	3.00	Bet Tri
55.7313	47.7875	3.01	Del Per
167.4158	44.4986	3.01	Psi UMa
218.0196	38.3083	3.03	Gam Boo
155.5821	41.4994	3.05	Mu UMa
230.1821	71.8339	3.05	Gam UMi
288.1388	67.6617	3.07	Del Dra
292.6804	27.9597	3.08	Bet1 Cyg
140.2637	34.3925	3.13	Alp Lyn
134.8017	48.0417	3.14	Iot UMa
258.7617	36.8092	3.16	Pi Her
76.6287	41.2344	3.17	Eta Aur
143.2142	51.6772	3.17	The UMa
257.1967	65.7147	3.17	Zet Dra
318.2342	30.2269	3.20	Zet Cyg
354.8367	77.6325	3.21	Gam Cep
322.1650	70.5608	3.23	Bet Cep
284.7358	32.6894	3.24	Gam Lyr
9.8321	30.8608	3.27	Del And
231.2325	58.9661	3.29	Iot Dra
183.8567	57.0325	3.31	Del UMa
332.7138	58.2011	3.35	Zet Cep
127.5662	60.7181	3.36	Omi UMa
28.5987	63.6700	3.38	Eps Cas
46.2942	38.8403	3.39	Rho Per
28.2704	29.5789	3.41	Alp Tri
266.6146	27.7206	3.42	Mu Her
311.3225	61.8389	3.43	Eta Cep
12.2750	57.8158	3.44	Eta Cas
154.2742	42.9144	3.45	Lam UMa
282.5200	33.3628	3.45	Bet Lyr
228.8758	33.3147	3.47	Del Boo
169.6196	33.0942	3.48	Nu UMa
225.4867	40.3906	3.50	Bet Boo
342.4200	66.2006	3.52	Iot Cep
250.7242	38.9222	3.53	Eta Her
24.4983	48.6283	3.57	
275.2642	72.7328	3.57	Chi Dra
217.9575	30.3714	3.58	Rho Boo
103.1971	33.9611	3.60	The Gem
135.9062	47.1567	3.60	Kap UMa
345.4804	42.3261	3.62	Omi And
42.4958	27.2606	3.63	
211.0971	64.3758	3.65	Alp Dra
9.2429	53.8969	3.66	Zet Cas
142.8821	63.0619	3.67	
231.9571	29.1058	3.68	Bet CrB
269.4412	29.2478	3.70	Xi Her
176.5125	47.7794	3.71	Chi UMa
89.8817	54.2847	3.72	Del Aur
316.2329	43.9278	3.72	Xi Cyg
318.6979	38.0456	3.72	Tau Cyg
75.6196	41.0758	3.75	Zet Aur
268.3821	56.8728	3.75	Xi Dra
337.2929	58.4153	3.75	Del Cep
42.6742	55.8956	3.76	Eta Per
